	名次 	 名称  
2018年高分剧情《不留痕迹/叶落无痕》BD中英双字幕迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:8308/阳光电影www.ygdy8.com.不留痕迹.BD.720p.中英双字幕.mkv']
2018年高分奇幻剧情《幸福的拉扎罗》BD日语中字迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:7297/阳光电影www.ygdy8.com.幸福的拉扎罗.BD.720p.意大利语中字.mkv']
2017年高分获奖《三块广告牌》BD国英双语双字迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:8276/阳光电影www.ygdy8.com.三块广告牌.BD.720p.国英双语双字.mkv']
2018年高分科幻动作《升级》BD中英双字幕迅雷下载	   	['ftp://ygdy8:ygdy8@yg72.dydytt.net:8259/阳光电影www.ygdy8.com.升级.BD.720p.中英双字幕.mkv']
2018年高分科幻动作《死侍2未分级加长版》BD中英双字幕迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:3123/阳光电影www.ygdy8.com.死侍2未分级加长版.BD.720p.中英双字幕.mkv']
2018年8.7高分动作《复仇者联盟3：无限战争》BD国英双语双字迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:3118/阳光电影www.ygdy8.com.复仇者联盟3：无限战争.BD.720p.国英双语双字.mkv']
2018年高分剧情《塔利/厌世妈咪日记》BD中英双字幕迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:8247/阳光电影www.ygdy8.com.塔利.BD.720p.中英双字幕.mkv']
2018年高分动画喜剧《犬之岛》BD中英双字幕迅雷下载	   	['ftp://ygdy8:ygdy8@yg72.dydytt.net:8241/阳光电影www.ygdy8.com.犬之岛.BD.720p.中英双字幕.mkv']
2017年高分获奖剧情《羞辱》BD中英双字幕迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:8225/阳光电影www.ygdy8.com.羞辱.BD.720p.中英双字幕.mkv']
2018年高分获奖剧情《米花之味》HD国语中英双字迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:7224/阳光电影www.ygdy8.com.米花之味.HD.1080p.国语中字.mp4']
2018年高分剧情悬疑《燃烧/燃烧烈爱》BD韩语中字迅雷下载	   	['ftp://ygdy8:ygdy8@yg45.dydytt.net:7223/阳光电影www.ygdy8.com.燃烧.BD.720p.韩语中字.mkv']
